time,replicate,experiment,KKRR,KKRr,KkRR,KkRr,kkRR,kkRr,kkrr,adults
1,1,G80,0,0,0,0,100,0,50,150
1,2,G80,0,0,0,0,100,0,50,150
1,3,G80,0,0,0,0,100,0,50,150
1,4,G80,0,0,0,0,100,0,50,150
1,5,G80,0,0,0,0,100,0,50,150
2,1,G80,0,0,0,0,171,185,19,375
2,2,G80,0,0,0,0,213,177,10,400
2,3,G80,0,0,0,0,205,191,34,430
2,4,G80,0,0,0,0,95,117,37,249
2,5,G80,0,0,0,0,110,181,37,328
3,1,G80,0,0,0,0,176,192,41,409
3,2,G80,0,0,0,0,116,116,19,251
3,3,G80,0,0,0,0,148,194,45,387
3,4,G80,0,0,0,0,81,136,35,252
3,5,G80,0,0,0,0,119,168,44,331
4,1,G80,0,0,0,0,88,129,43,260
4,2,G80,0,0,0,0,162,164,50,376
4,3,G80,0,0,0,0,178,216,61,455
4,4,G80,0,0,0,0,114,222,63,399
4,5,G80,0,0,0,0,86,134,41,261
5,1,G80,0,0,0,0,81,176,80,337
5,2,G80,0,0,0,0,106,169,61,336
5,3,G80,0,0,0,0,112,165,30,307
5,4,G80,0,0,0,0,63,67,27,157
5,5,G80,0,0,0,0,138,203,45,386
6,1,G80,0,0,0,0,73,207,154,434
6,2,G80,0,0,0,0,91,120,53,264
6,3,G80,0,0,0,0,143,191,51,385
6,4,G80,0,0,0,0,124,193,60,377
6,5,G80,0,0,0,0,106,179,53,338
1,1,DG4,100,0,0,0,0,0,50,150
1,2,DG4,100,0,0,0,0,0,50,150
1,3,DG4,100,0,0,0,0,0,50,150
1,4,DG4,100,0,0,0,0,0,50,150
1,5,DG4,100,0,0,0,0,0,50,150
2,1,DG4,107,0,0,96,0,0,54,257
2,2,DG4,218,0,0,112,0,0,29,359
2,3,DG4,103,0,0,118,0,0,42,263
2,4,DG4,175,0,0,117,0,0,6,298
2,5,DG4,210,0,0,147,0,0,26,383
3,1,DG4,195,98,94,209,11,36,51,694
3,2,DG4,208,70,70,114,4,11,9,486
3,3,DG4,64,53,64,110,5,31,29,356
3,4,DG4,142,107,65,181,10,21,15,541
